Date,User,Message
2023.9.20 10:15,나,"대환이형 안녕하세요 저 현운데요!
어제 치킨집에서 식사한건 어떻게 정산되는건가요?
찜찜~해서 연락드려요"
2023.9.20 10:15,형,ㅋㅋㅋㅋㅋㅋㅋ
2023.9.20 10:15,형,현우야
2023.9.20 10:15,형,어제 병요형이 계산해주셧어
2023.9.20 10:16,나,아 그래요?? 안그래도 집가면서 수연이한테 물어봤는데 잘 모르는거 같아서 오늘 여쭤보려고 했거든요
2023.9.20 10:16,형,"ㅋㅋㅋ응 병요형님이 자주 사주셔ㅠㅠ 
맞다 너 10/10일 화요일에 시간되?"
2023.9.20 10:16,형,학과모임하려는데
2023.9.20 10:16,형,날짜 하나로 몰아보려고
2023.9.20 10:17,나,그때 정태수교수님 수업 이후엔 시간 괜찮아요
2023.9.20 10:17,형,ㅇㅇ 그럴거 같아서!ㅋㅋ
2023.9.20 10:17,형,학과단체방에 투표좀 해봥
2023.9.20 10:17,형,ㅋㅋㅋㅋㅋㅋㅋㅋ
2023.9.20 10:17,나,아 날짜가
2023.9.20 10:17,나,더 생겼네요??
2023.9.20 10:18,나,그 전 날짜는 진짜 바쁠거 같아서 고민중이었는데
2023.9.20 10:18,형,응ㅋㅋㅋㅋ 병요형이 어제 제안해주셔서
2023.9.20 10:18,형,다른분들도 10일로 몰아보려고
2023.9.20 10:18,나,저에겐 10일이 최선이에요... 
2023.9.20 10:18,나,연차보고가 10월 13일 금요일까지라...
2023.9.20 10:18,형,그래 다행이다ㅠㅠ
2023.9.20 10:18,나,그때까진 엄청 바쁠거 같거든요...
2023.9.20 10:18,형,너도 많이바쁘구나
2023.9.20 10:18,나,잡부라서 바쁘기만 합니다.. 실속없이...
2023.9.20 10:46,형,그래도 그만큼 다양하게 많이 경험하는건 분명 좋은일일거야~
2023.9.20 10:47,형,난 한분야만 집중하다보니까 확실히 장단점이 있는거 같아 ㅋㅋ
2023.9.20 10:47,형,다른원우들이랑 얘기하면서 많이 느끼는건 많이 경험하고 아는게 많아질수록 이직하거나 기회는 많아지는듯
2023.9.20 10:48,나,이모티콘
2023.9.20 10:48,형,ㅋㅋㅋㅋ그래도 10일로 확정될거같네
2023.9.20 10:48,나,제발 10일로..!
2023.9.20 10:48,형,ㅋㅋㅋㅋ응 어제처럼 끝나고 간단히 한잔하다가 10시쯤 먼저갈사람가고 2차까진 갈듯?
2023.9.20 10:49,형,현재 8명인데 10명전후가 되지않을까 싶네
2023.9.20 10:49,나,아 좋아요 얼굴들 한번 싹 보면 좋으니깐...!
2023.9.20 10:49,형,응 그날은 너랑 수연이 배려해서 간단히 다들 자기소개도 시켜줄게ㅋㅋ
2023.9.20 10:50,형,형식적인 자기소개말구
2023.9.20 10:50,형,하고싶은얘기들이 오고갈거야 ㅋ
2023.9.20 10:50,형,학과모임 몇번해보니까 생각보다 재밌더라구
2023.9.20 10:50,형,관계가 깊어질수록 더 재밌엌ㅋㅋㅋㅋ
2023.9.20 10:50,나,이제 자주 뵐 분들이죠...?
2023.9.20 10:50,형,당연하지
2023.9.20 10:50,나,저 학교 들어오고 오티날 봤던 애들 아직도 한번도 못 봤는데...
2023.9.20 10:50,나,그 그룹 만들어진 애들 담주에 함 보자곤 하는데
2023.9.20 10:50,형,난 지금 참석하는 7명은 수시로 자주자주 보는분들이야
2023.9.20 10:50,나,그것도 불투명해서...
2023.9.20 10:51,형,그룹? 오티떄?
2023.9.20 10:51,형,아 안그래도
2023.9.20 10:51,형,72기애들 담주월요일 8시에 한잔하기로했는데
2023.9.20 10:51,나,"아 그 동기로는 민영이 난아, 수연이 이렇게 그룹지어져서"
2023.9.20 10:51,나,거기에 +성안
2023.9.20 10:51,형,ㅋㅋㅋㅋㅋ
2023.9.20 10:51,형,성안이도 같이잇었구나?
2023.9.20 10:51,나,92년생이라고
2023.9.20 10:52,형,나도 난아 들어있는방이 있어
2023.9.20 10:52,나,민영이 수연이 성안이 셋이 붙어있다가
2023.9.20 10:52,나,수연이가 같은 과라고 저 붙여주고
2023.9.20 10:52,나,산디과 한명있다고 난아도 붙여줘서 5명 됐어요
